,folder,fish,task,area,type,rootDir
90,4172019,Fish2-4-random,Random Gain,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
91,4172019,Fish2-5-delay,Delayed feedback,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
92,4172019,Fish3-1-random,Random Gain,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
93,4172019,Fish3-2-random,Random Gain,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
94,4172019,Fish3-3-delay,Delayed feedback,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
95,4172019,Fish3-4-random,Random Gain,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
96,4172019,Fish3-5-delay,Delayed feedback,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
97,4182019,Fish1-1-random,Random Gain,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
98,4182019,Fish1-2-random,Random Gain,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
99,4182019,Fish1-3-delay,Delayed feedback,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
100,4182019,Fish1-4-random,Random Gain,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
101,4182019,Fish1-5-delay,Delayed feedback,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
102,4182019,Fish2-1-random,Random Gain,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
103,4182019,Fish2-2-random,Random Gain,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
104,4182019,Fish2-3-delay,Delayed feedback,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
105,4182019,Fish2-4-random,Random Gain,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
106,4182019,Fish2-5-delay,Delayed feedback,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
107,5012019,Fish1-1-RandomDelay,Delayed feedback,GABA,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
108,5012019,Fish1-2-RandomGain,Random Gain,GABA,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
109,5012019,Fish2-1-RandomGain,Random Gain,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
110,5012019,Fish2-2-RandomDelay,Delayed feedback,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
111,5012019,Fish2-3-RandomGain,Random Gain,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
112,5012019,Fish2-4-RandomDelay,Delayed feedback,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
113,5012019,Fish2-5-RandomGain,Random Gain,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
114,5012019,Fish2-6-RandomDelay,Delayed feedback,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
115,5012019,Fish3-1-RandomGain,Random Gain,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
116,5012019,Fish3-2-RandomDelay,Delayed feedback,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
117,5012019,Fish3-3-RandomGain,Random Gain,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
118,5012019,Fish3-4-RandomDelay,Delayed feedback,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
119,5012019,Fish4-1-swimonly_visualonly,Swimonly_Visualonly,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
120,5012019,Fish4-2-swimonly_visualonly,Swimonly_Visualonly,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
121,5022019,Fish1-1-swimonly_visualonly,Swimonly_Visualonly,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
122,5022019,Fish1-2-swimonly_visualonly,Swimonly_Visualonly,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
123,5022019,Fish1-3-swimonly_visualonly,Swimonly_Visualonly,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
124,5082019,Fish1-1-swimonly_visualonly,Swimonly_Visualonly,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
125,5082019,Fish1-2-swimonly_visualonly,Swimonly_Visualonly,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
126,5082019,Fish1-3-swimonly_visualonly,Swimonly_Visualonly,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
127,5082019,Fish2-1-swimonly_visualonly,Swimonly_Visualonly,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
128,5082019,Fish2-2-swimonly_visualonly,Swimonly_Visualonly,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
129,5082019,Fish2-3-swimonly_visualonly,Swimonly_Visualonly,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
130,5082019,Fish3-1-swimonly_visualonly,Swimonly_Visualonly,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
131,5082019,Fish3-2-swimonly_visualonly,Swimonly_Visualonly,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
132,5082019,Fish3-3-swimonly_visualonly,Swimonly_Visualonly,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
133,5092019,Fish1-1-swimonly_visualonly,Swimonly_Visualonly,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
134,5092019,Fish1-2-swimonly_visualonly,Swimonly_Visualonly,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
135,5092019,Fish1-3-swimonly_visualonly,Swimonly_Visualonly,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
136,5092019,Fish2-1-swimonly_visualonly,Swimonly_Visualonly,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
137,5092019,Fish2-2-swimonly_visualonly,Swimonly_Visualonly,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
138,5092019,Fish2-3-swimonly_visualonly,Swimonly_Visualonly,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
139,5092019,Fish2-4-swimonly_visualonly,Swimonly_Visualonly,Glu,tph2,/mnt/Dali/Takashi/Cezanne/SPIM_newPC/
